DateTime,Event
2019-03-13 16:54:34,Accident on Bukit Timah Road (towards Woodlands) after Stevens Road. Avoid left lane
2019-03-13 16:13:52,Heavy Traffic on ECP (towards Changi Airport) after Still Rd Sth Exit
2019-03-13 16:10:28,Obstacle on PIE (towards Tuas) before Jalan Bahar. Avoid lane 4
2019-03-13 16:07:51,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit with congestion till Tg Katong Rd Exit. Avoid lane 1
2019-03-13 15:34:02,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit. Avoid lane 1
2019-03-13 10:53:47,Accident on AYE (towards MCE) after Buona Vista Exit
2019-03-13 10:52:27,Accident on AYE (towards MCE) after Buona Vista Exit. Avoid lane 1
2019-03-13 10:38:29,Accident on TPE (towards PIE) before PIE Exit. Avoid lane 2
2019-03-13 10:31:19,Accident on TPE (towards PIE) before PIE Exit. Avoid lane 3
2019-03-13 08:08:25,Accident on TPE (towards PIE) before Elias Rd Exit with congestion till KPE Exit. Avoid lane 3
2019-03-13 08:07:45,Accident on TPE (towards PIE) before Elias Rd Exit with congestion till Punggol Rd Exit. Avoid lane 3
2019-03-13 08:06:24,Accident on TPE (towards PIE) after Pasir Ris Dr 12 Exit with congestion till Punggol Rd Exit. Avoid lane 3
2019-03-13 08:05:43,Accident on TPE (towards PIE) before Elias Rd Exit. Avoid lane 3
2019-03-13 08:03:40,Heavy Traffic on SLE (towards BKE) after Lentor Ave Exit
2019-03-13 08:02:19,Accident on KPE (towards ECP) after Tampines Rd Exit. Avoid lane 1
2019-03-13 07:42:17,Accident on SLE (towards BKE) after Lentor Ave Exit with congestion till TPE Exit. Avoid lanes 1 and 2
2019-03-13 07:31:58,Accident on SLE (towards BKE) after Lentor Ave Exit with congestion till TPE Entrance. Avoid lanes 1 and 2
2019-03-13 07:25:34,Accident on SLE (towards BKE) after Lentor Ave Exit. Avoid lanes 1 and 2
2019-03-13 07:22:08,Accident on SLE (towards BKE) after Lentor Ave Exit. Avoid lane 2
2019-03-12 22:09:25,Accident on KJE (towards PIE) after BKE Entrance
2019-03-12 21:47:10,Obstacle on PIE (towards Changi Airport) at TPE Entrance
